parcela,dia,pendiente dia -15,pendiente dia -10,pendiente dia -5,ndvi,recogido,tmed,prec,precSum3,estacion,pres,estacionPres
50_210_0_0_5_423_2,294,0.0030427208284396,0.0026468158943023,0.0018617859448431,0.1890304424293642,0,19.3,1.4,1.5999999999999999,9434,989.7,9434
50_210_0_0_5_423_2,295,0.0029001942040472,0.00235597332796,0.0015725509624533,0.1879964765374993,0,19.2,0.4,2.0,9434,988.65,9434
50_210_0_0_5_423_2,296,0.0027070074838883,0.0020630146140863,0.0013032584271591,0.1871919182867372,1,20.0,0.0,1.7999999999999998,9434,990.9,9434
50_210_0_0_5_423_2,297,0.0024778294670105,0.0017746798788172,0.0010539083389605,0.1865968252299825,1,22.0,0.0,0.4,9434,991.9,9434
50_210_0_0_5_423_2,298,0.0022273289524614,0.0014977092482887,0.0008245006978576,0.1861912549201395,1,19.6,0.0,0.0,9434,992.75,9434
50_210_0_0_5_423_2,299,0.0019695557641516,0.0012384107243467,0.0006150355038503,0.1859552649101125,1,19.7,0.0,0.0,9434,991.5,9434
50_210_0_0_5_423_2,300,0.0017124864709529,0.0009990318596959,0.0004255127569386,0.1858689127528061,1,19.7,0.0,0.0,9434,993.55,9434
50_210_0_0_5_423_2,301,0.0014606538950984,0.0007795954421408,0.0002559324571225,0.1859122560011245,0,21.2,0.0,0.0,9434,991.55,9434
50_210_0_0_5_423_2,302,0.0012185514540121,0.0005801014716813,0.000106294604402,0.1860653522079721,0,21.4,0.0,0.0,9434,986.45,9434
50_210_0_0_5_423_2,303,0.0009906725651182,0.0004005499483174,-2.340080122276156e-05,0.1863082589262533,0,20.1,0.0,0.0,9434,980.2,9434
50_210_0_0_5_423_2,304,0.0007812225629804,0.0002409408720491,-0.0001331537597519,0.1866210337088724,0,17.3,0.0,0.0,9434,976.65,9434
50_210_0_0_5_423_2,305,0.0005916998160687,0.0001012742428765,-0.0002229642711855,0.186983734108734,0,17.4,0.0,0.0,9434,978.65,9434
50_210_0_0_5_424_1,286,0.0025769294190998,0.0039882103438794,0.0052956544351692,0.2288276917920105,0,19.2,0.0,1.4,9434,988.8499999999999,9434
50_210_0_0_5_424_1,287,0.0028436544438178,0.0044003696245813,0.0051117276031652,0.2243302612602498,0,18.6,0.0,0.4,9434,989.95,9434
