,parcela,dia,pendiente dia -15,pendiente dia -10,pendiente dia -5,ndvi,recogido,tmed,prec,precSum3,estacion,pres,estacionPres
114,50_108_0_0_11_75,321,0.0033116982542564,0.0053965224954606,0.0044537610116836,0.4460028476105144,1,10.2,0.0,0.0,9294E,985.1500000000001,9294E
115,50_108_0_0_11_75,322,0.0034234154139356,0.0050695702172517,0.0026711228952901,0.4465167617085996,0,8.9,0.0,0.0,9294E,987.8,9294E
116,50_108_0_0_11_75,323,0.003487769501613,0.0045099756295926,0.0011258020664712,0.447398456657045,0,8.8,0.0,0.0,9294E,991.85,9294E
117,50_108_0_0_11_75,324,0.0035216079747286,0.0037541462529074,0.0001102112450876,0.4480720251913588,0,6.9,0.0,0.0,9294E,992.95,9294E
118,50_108_0_0_11_75,325,0.0035135301664192,0.0028810059584217,-0.0003784775371916,0.4483852819115905,0,7.0,0.2,0.2,9294E,987.9,9294E
119,50_108_0_0_11_75,326,0.0034400199777134,0.0019903879769513,-0.000472985057781,0.4483677728994196,0,10.1,0.2,0.4,9294E,980.45,9294E
120,50_108_0_0_12_13_1,307,-0.0111400025495961,-0.0130870167700475,-0.0162292895012151,0.9058991518691004,0,10.6,2.4,12.4,9294E,973.35,9294E
121,50_108_0_0_12_13_1,308,-0.0105633428925367,-0.0128791344861435,-0.013607287118198,0.9093970488216035,0,9.4,0.2,2.6,9294E,973.35,9294E
122,50_108_0_0_12_13_1,309,-0.0095773166267703,-0.0114973113980301,-0.0086533508853201,0.9031668433471712,0,7.6,0.0,2.6,9294E,980.1500000000001,9294E
123,50_108_0_0_12_13_1,310,-0.0082354113766126,-0.0091032198804919,-0.0021174231520906,0.8891475442570191,0,8.8,0.0,0.2,9294E,987.15,9294E
124,50_108_0_0_12_13_1,311,-0.0067190030100697,-0.0060876841240549,0.0047120759871393,0.871196484017718,0,9.0,0.0,0.0,9294E,990.6500000000001,9294E
125,50_108_0_0_12_13_1,312,-0.0052102550055782,-0.0028430104889274,0.0105432685233603,0.8531828092522984,0,10.8,0.0,0.0,9294E,988.15,9294E
126,50_108_0_0_12_13_1,313,-0.0038913308415748,0.0002384946646822,0.0140842764475626,0.8389756665837904,0,12.8,0.0,0.0,9294E,984.7,9294E
127,50_108_0_0_12_13_1,314,-0.0029130927531613,0.0028009968256281,0.0142553445365763,0.8318901206642895,0,9.3,0.0,0.0,9294E,984.7,9294E
128,50_108_0_0_12_13_1,315,-0.0021934873235461,0.0047542773191274,0.0116259777903456,0.831017655305291,0,8.2,0.0,0.0,9294E,984.05,9294E
129,50_108_0_0_12_13_1,316,-0.0015457055746105,0.0061251637557088,0.0075382515242782,0.8335052263963267,0,11.1,0.0,0.0,9294E,984.15,9294E
130,50_108_0_0_12_13_1,317,-0.0007824502453816,0.0069409693825351,0.0033386702417099,0.8364894580437487,1,11.2,0.0,0.0,9294E,982.8,9294E
131,50_108_0_0_12_13_1,318,0.0002835759251135,0.0072290074467694,0.0003737384459761,0.8371069743539096,1,13.6,0.0,0.0,9294E,984.45,9294E
132,50_108_0_0_12_13_1,319,0.0018019776139906,0.007029641863646,-0.0001960608092842,0.8328704247107105,1,12.4,0.0,0.0,9294E,983.2,9294E
133,50_108_0_0_12_13_1,320,0.0036343859919098,0.0065102905639101,0.0013946033374747,0.8240446386179173,1,11.1,0.0,0.0,9294E,984.05,9294E
134,50_108_0_0_12_13_1,321,0.0055092882686627,0.0059078944094244,0.0042775372945705,0.8121175399234738,1,10.2,0.0,0.0,9294E,985.1500000000001,9294E
135,50_108_0_0_12_13_1,322,0.0071544366888607,0.0054600207716109,0.0075813713015118,0.7985826015361893,0,8.9,0.0,0.0,9294E,987.8,9294E
136,50_108_0_0_12_13_1,323,0.0082975834971153,0.0054042370218917,0.0104347355978072,0.7849332963648732,0,8.8,0.0,0.0,9294E,991.85,9294E
137,50_108_0_0_12_13_1,324,0.0087099183557805,0.0059372052653825,0.0120704713400493,0.7725180680104635,0,6.9,0.0,0.0,9294E,992.95,9294E
138,50_108_0_0_12_13_1,325,0.008498783563146,0.0069351864495462,0.0124757695616177,0.7616657908098288,0,7.0,0.2,0.2,9294E,987.9,9294E
139,50_108_0_0_12_13_1,326,0.007928562091672,0.0081237173753689,0.0119698974561673,0.7522680526426369,0,10.1,0.2,0.4,9294E,980.45,9294E
140,50_108_0_0_1_171_2,307,0.0039256400512379,0.0011427092307272,0.0017025275785472,0.3364085768278146,0,10.6,2.4,12.4,9294E,973.35,9294E
141,50_108_0_0_1_171_2,308,0.0026459760681429,0.0012953022748303,0.0015833331900674,0.3352169880840133,0,9.4,0.2,2.6,9294E,973.35,9294E
142,50_108_0_0_1_171_2,309,0.0017693292907374,0.0014125877304891,0.0014282054945193,0.33410880528695,0,7.6,0.0,2.6,9294E,980.1500000000001,9294E
143,50_108_0_0_1_171_2,310,0.0012980017016087,0.001463254645687,0.0012861136707428,0.332986347607995,0,8.8,0.0,0.2,9294E,987.15,9294E
144,50_108_0_0_1_171_2,311,0.0011315312030824,0.001471341553406,0.0012058636256931,0.3317519342185184,0,9.0,0.0,0.0,9294E,990.6500000000001,9294E
145,50_108_0_0_1_171_2,312,0.0011685189896798,0.001461333043066,0.0012201385075848,0.3303078842898905,0,10.8,0.0,0.0,9294E,988.15,9294E
146,50_108_0_0_1_171_2,313,0.0013075662559223,0.0014577137040869,0.0013320942181064,0.3285565169934809,0,12.8,0.0,0.0,9294E,984.7,9294E
147,50_108_0_0_1_171_2,314,0.0014546085926466,0.0014834279057405,0.0015386503169617,0.326415553702141,0,9.3,0.0,0.0,9294E,984.7,9294E
148,50_108_0_0_1_171_2,315,0.0015799181643528,0.0015496794362136,0.0018132452016843,0.3239201215995731,0,8.2,0.0,0.0,9294E,984.05,9294E
149,50_108_0_0_1_171_2,316,0.001687063232636,0.0016621851083945,0.002118506591096,0.3211594012630384,0,11.1,0.0,0.0,9294E,984.15,9294E
150,50_108_0_0_1_171_2,317,0.0017798902833998,0.0018185716358261,0.0024170047640675,0.3182228604695529,1,11.2,0.0,0.0,9294E,982.8,9294E
151,50_108_0_0_1_171_2,318,0.0018622458025478,0.002001702108788,0.0026713099994696,0.3151999669961324,1,13.6,0.0,0.0,9294E,984.45,9294E
152,50_108_0_0_1_171_2,319,0.0019381198215634,0.0021930769850855,0.0028475036532092,0.3121780354360945,1,12.4,0.0,0.0,9294E,983.2,9294E
153,50_108_0_0_1_171_2,320,0.0020125530015417,0.0023757726669412,0.002938300132198,0.3092286209385827,1,11.1,0.0,0.0,9294E,984.05,9294E
154,50_108_0_0_1_171_2,321,0.0020909984891496,0.0025335659208778,0.0029486252506597,0.3064162750097395,1,10.2,0.0,0.0,9294E,985.1500000000001,9294E
155,50_108_0_0_1_171_2,322,0.0021735372964639,0.0026502366909035,0.0028834686177395,0.303805517380855,0,8.9,0.0,0.0,9294E,987.8,9294E
156,50_108_0_0_1_171_2,323,0.0022504080200529,0.0027095649210261,0.0027478198425825,0.3014608677832195,0,8.8,0.0,0.0,9294E,991.85,9294E
157,50_108_0_0_1_171_2,324,0.0023113310927015,0.0026976714805713,0.0025478393079334,0.2994388388964273,0,6.9,0.0,0.0,9294E,992.95,9294E
158,50_108_0_0_1_171_2,325,0.0023497796341173,0.0026180468503338,0.0022977935684696,0.2977396530962345,0,7.0,0.2,0.2,9294E,987.9,9294E
159,50_108_0_0_1_171_2,326,0.0023608362664,0.002482001104052,0.0020153769574444,0.2963393902225174,0,10.1,0.2,0.4,9294E,980.45,9294E
160,50_108_0_0_2_119_1,307,-0.0003448100117528,-0.0006867003232885,-0.001870424994922,0.3331421831361232,0,10.6,2.4,12.4,9294E,973.35,9294E
161,50_108_0_0_2_119_1,308,-0.0003301881744203,-0.0010825703867089,-0.0019902626824389,0.3351164233554273,0,9.4,0.2,2.6,9294E,973.35,9294E
162,50_108_0_0_2_119_1,309,-0.0003873206051691,-0.001375412099776,-0.0019760381309411,0.3367864180970146,0,7.6,0.0,2.6,9294E,980.1500000000001,9294E
163,50_108_0_0_2_119_1,310,-0.0005192407691308,-0.0015391177947702,-0.0018202838056968,0.3379977296893509,0,8.8,0.0,0.2,9294E,987.15,9294E
164,50_108_0_0_2_119_1,311,-0.0006767295450081,-0.0015697748365876,-0.0015155570700534,0.338595920460903,0,9.0,0.0,0.0,9294E,990.6500000000001,9294E
165,50_108_0_0_2_119_1,312,-0.0008100915224599,-0.0014636494578624,-0.0010568739208027,0.3384265527401372,0,10.8,0.0,0.0,9294E,988.15,9294E
166,50_108_0_0_2_119_1,313,-0.0008696312911454,-0.0012170078912286,-0.0004437531000184,0.3373351888555195,0,12.8,0.0,0.0,9294E,984.7,9294E
167,50_108_0_0_2_119_1,314,-0.000811325908061,-0.000829595827786,0.0003168464753689,0.3352021857201696,0,9.3,0.0,0.0,9294E,984.7,9294E
168,50_108_0_0_2_119_1,315,-0.0006377717295107,-0.0003276817023442,0.0011649204010083,0.3321731276843093,0,8.2,0.0,0.0,9294E,984.05,9294E
169,50_108_0_0_2_119_1,316,-0.0003745024779352,0.000250242584658,0.0020160422393695,0.3285157092640555,0,11.1,0.0,0.0,9294E,984.15,9294E
170,50_108_0_0_2_119_1,317,-4.721437447468002e-05,0.0008643909357489,0.0027856557923007,0.3244982737786333,1,11.2,0.0,0.0,9294E,982.8,9294E
171,50_108_0_0_2_119_1,318,0.000318396359731,0.001472725880816,0.0033892048616505,0.3203891645472666,1,13.6,0.0,0.0,9294E,984.45,9294E
